name,x,y
A0685400115,-116.854,34.264
72288023152,-118.36543,34.19966
72289793206,-120.64406,35.23815
72495723213,-122.81101,38.50369
72289903179,-117.62487,33.97563
72382523131,-117.38333,34.58333
72290993115,-117.11715,32.56797
74917100479,-118.4393,35.1349
72040600135,-122.55,38.15
74509023244,-122.0481,37.4058
72590523275,-123.20015,39.12781
72382023182,-118.08309,34.62944
72281023199,-115.66377,32.83241
72396593209,-120.62918,35.66936
72381523161,-116.78702,34.85371
99999993243,-120.8825,37.2381
72033353175,-117.60243,33.89765
72391093111,-119.12281,34.12407
72492723285,-121.8149,37.69309
72595524259,-122.46825,41.77373
72492023237,-121.22637,37.88997
74718603164,-116.4681,32.6261
72286903171,-117.43523,33.95282
72593023233,-121.60928,36.66352
72292800369,-117.456,33.286
72592024257,-122.29773,40.51462
74505823277,-121.79001,36.93936
72483023232,-121.49604,38.50659
72392623136,-119.08762,34.21142
72287493134,-118.2911,34.0236
74718503144,-115.57656,32.83464
72584523225,-120.70927,39.27617
72595894299,-120.5615,41.48362
72583799999,-120.572694,40.375694
74917900392,-121.417,36.9
72290303131,-117.13747,32.81453
72389853119,-119.62319,36.3114
72297023129,-118.14718,33.81177
72065200433,-119.519,38.3557
72389403181,-118.85,37.63333
72584793230,-119.99617,38.89838
72286023119,-117.25,33.9
72290403178,-116.99391,32.57583
72068199999,-120.648172,38.146118
72493723289,-122.11667,37.46667
72380523179,-114.61842,34.76783
72497393203,-121.85,39.8
72061400205,-121.351,38.909
72492623258,-120.95492,37.62544
72064500227,-120.75,38.717
74948500396,-124.133,40.554
72057600174,-121.783,38.533
72591024216,-122.25478,40.15186
74612093104,-117.690911,35.686254
72095299999,-117.675,34.563889
72595724215,-122.317127,41.314893
72288593197,-118.44712,34.02099
72483993225,-121.59479,38.70069
72295503174,-118.33961,33.80338
72381603159,-118.21255,34.74121
72594524283,-124.10479,40.97844
72494693232,-121.81667,37.33333
74948400395,-121.597,37.082
72495593227,-122.28041,38.2075
72290023188,-117.1831,32.7336
72483793216,-121.43333,39.13333
72286893138,-116.50433,33.82216
72292603154,-117.35508,33.30424
72389523149,-119.0625,36.02944
72289523243,-120.46667,34.66667
72584693201,-120.13944,39.32
72297793184,-117.86746,33.67975
72483323206,-121.3,38.56667
72389693144,-119.4,36.31667
72494023234,-122.36562,37.61962
72389799999,-119.819897,36.732364
A0704900320,-122.6,38.25
72392523190,-119.84249,34.4241
74516023202,-121.93333,38.26667
72376293244,-120.07556,34.60694
72483623208,-121.4,38.66667
72295603167,-118.33291,33.92353
72317153144,-117.86472,34.98833
72481523257,-120.51788,37.28597
72292703177,-117.27651,33.12993
74505753130,-118.41333,34.25917
72383023187,-118.72528,34.74361
72482893241,-121.95854,38.37753
72297553141,-118.05194,33.79
72286699999,-117.234875,34.095353
99999953139,-117.1449,36.602
72026723224,-121.08194,38.95472
72480023157,-118.35886,37.37114
74704003102,-117.57689,34.05314
72392793110,-119.20417,34.20012
74611003182,-116.63333,35.28333
72389093193,-119.72016,36.77999
A0705300346,-122.694,40.983
74718823158,-114.71451,33.61876
69015093121,-116.14722,34.294
72381023114,-117.86667,34.9
74504893210,-121.62226,39.4943
72594624286,-124.23796,41.78361
74702023110,-119.95,36.33333
74504693242,-120.11068,36.98505
72290753143,-116.9725,32.82611
72019300117,-122.922,40.747
72585093228,-122.12116,37.65886
74718703104,-116.16412,33.63166
72483893205,-121.56884,39.10205
72394023273,-120.45216,34.89403
72384023155,-119.05524,35.43424
72061500206,-120.417,38.033
74505653120,-116.915979,33.03801
72288623130,-118.49146,34.21214
72393093214,-120.56667,34.71667
74948600397,-121.003,39.224
99999953151,-117.1904,33.4392
72295303183,-118.15,35.06667
99999953150,-119.8208,37.7592
72481023203,-120.56667,37.38333
99999904222,-122.6068,40.6507
72288703180,-117.78333,34.1
72491523259,-121.84881,36.59041
72293193107,-117.13333,32.86667
99999923122,-117.23472,34.09528
72295023174,-118.3866,33.93816
72293453121,-117.34962,33.21946
74704303165,-118.03333,34.08333
72594024213,-124.1602,40.8097
72495023254,-122.05268,37.99165
72494523293,-121.92444,37.35938
72493893231,-122.25,37.51667
72297603166,-117.98561,33.87154
99999953152,-119.8796,34.4141
